simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
1,1,0,0.0,2,                  0x400,0.0,3,                  0x400,0.0,4.0,                  0x400,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2,1,0,0.0,2,                  0x400,-0.0001838596654124558,3,                  0x400,-0.000757903850171715,4.0,                  0x400,-0.00011610807268880308,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,1,0,0.0,2,                  0x400,-0.000540534732863307,3,                  0x400,-0.00370580842718482,4.0,                  0x400,-0.0003275019407738,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,1,0,0.0,2,                  0x400,-0.0005404608091339469,3,                  0x400,-0.0037055704742670055,4.0,                  0x400,-0.0003274570335634053,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,1,0,0.0,2,                  0x400,-0.0005403558607213199,3,                  0x400,-0.0037052251864224672,4.0,                  0x400,-0.0003273935290053487,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,1,0,0.0,2,                  0x400,-0.0005402198294177651,3,                  0x400,-0.003704773262143135,4.0,                  0x400,-0.00032731136889196927,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,1,0,0.0,2,                  0x400,-0.0005400527734309435,3,                  0x400,-0.0037042142357677217,4.0,                  0x400,-0.00032721061143092806,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,1,0,0.0,2,                  0x400,-0.0005398547509685159,3,                  0x400,-0.0037035485729575157,4.0,                  0x400,-0.00032709125662222505,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,1,0,0.0,2,                  0x400,-0.0005396257620304823,3,                  0x400,-0.003702775808051229,4.0,                  0x400,-0.0003269533335696906,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,1,0,0.0,2,                  0x400,-0.0005393659230321646,3,                  0x400,-0.0037018966395407924,4.0,                  0x400,-0.0003267968713771552,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
