simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
2,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,3.744630157598295e-05,3.0,0.0,2.564894748502411e-05,4.0,0.0,4.5262564526638016e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012424633314367384,3.0,0.0,7.234712393255904e-05,4.0,0.0,0.00012178634642623365,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001242300349986181,3.0,0.0,7.233235373860226e-05,4.0,0.0,0.00012176950986031443,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012420682469382882,3.0,0.0,7.231148629216477e-05,4.0,0.0,0.0001217457465827465,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001241767022293061,3.0,0.0,7.228452159324661e-05,4.0,0.0,0.00012171507114544512,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012413966760504994,3.0,0.0,7.225145964184776e-05,4.0,0.0,0.00012167749082436785,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001240957499248907,3.0,0.0,7.221232226584107e-05,4.0,0.0,0.00012163300561951472,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001240449491888285,3.0,0.0,7.216710946522653e-05,4.0,0.0,0.0001215816373587586,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001239872653968632,3.0,0.0,7.211585034383461e-05,4.0,0.0,0.00012152337876614185,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012392271310091021,3.0,0.0,7.205855217762291e-05,4.0,0.0,0.00012145825894549488,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001238513068528846,3.0,0.0,7.199522951850668e-05,4.0,0.0,0.00012138627789681775,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012377306120470166,3.0,0.0,7.192591147031635e-05,4.0,0.0,0.00012130746472394094,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012368800526019186,3.0,0.0,7.185061258496718e-05,4.0,0.0,0.00012122183397877959,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012359613901935518,3.0,0.0,7.176936924224721e-05,4.0,0.0,0.00012112940021324904,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012349747703410682,3.0,0.0,7.168219599407165e-05,4.0,0.0,0.00012103018525522202,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012339206296019256,3.0,0.0,7.158913649618626e-05,4.0,0.0,0.00012092421093257144,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012327991134952754,3.0,0.0,7.149021257646382e-05,4.0,0.0,0.00012081150634912774,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.000123161036754027,3.0,0.0,7.138546061469242e-05,4.0,0.0,0.00012069209333276377,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012303548282943666,3.0,0.0,7.127491699066013e-05,4.0,0.0,0.00012056600098730996,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
21,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012290324957575646,3.0,0.0,7.115861808415502e-05,4.0,0.0,0.0001204332584165968,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
22,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012276439520064741,3.0,0.0,7.103660027496517e-05,4.0,0.0,0.00012029390200041233,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
23,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012261891970410946,3.0,0.0,7.090891449479386e-05,4.0,0.0,0.00012014795356662944,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
24,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012246688129380345,3.0,0.0,7.07756043993868e-05,4.0,0.0,0.00011999544949503615,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
25,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012230829452164474,3.0,0.0,7.063670636853203e-05,4.0,0.0,0.00011983643344137818,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
26,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001221432030433789,3.0,0.0,7.049227860989049e-05,4.0,0.0,0.00011967094178544356,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
27,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012197163596283644,3.0,0.0,7.034236477920786e-05,4.0,0.0,0.00011949900363106279,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
28,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00012179364421172068,3.0,0.0,7.018701580818743e-05,4.0,0.0,0.00011932066990993916,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
