simFrame,playerId.0,laneId.0,roadS.0,roadT.0,hdgRel.0,playerId.1,laneId.1,roadS.1,roadT.1,hdgRel.1,playerId.2,laneId.2,roadS.2,roadT.2,hdgRel.2,playerId.3,laneId.3,roadS.3,roadT.3,hdgRel.3,playerId.4,laneId.4,roadS.4,roadT.4,hdgRel.4,playerId.5,laneId.5,roadS.5,roadT.5,hdgRel.5,playerId.6,laneId.6,roadS.6,roadT.6,hdgRel.6,playerId.7,laneId.7,roadS.7,roadT.7,hdgRel.7,playerId.8,laneId.8,roadS.8,roadT.8,hdgRel.8,playerId.9,laneId.9,roadS.9,roadT.9,hdgRel.9
2,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.0,-5.16962480545044,-0.003628120990470052,3.0,-1.0,150.0,-1.7436619997024536,-0.0008176023839041591,4.0,-2.0,160.0,-5.22795295715332,-0.002107030479237437,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.00015258789062,-5.16962480545044,-0.0036281303036957975,3.0,-1.0,150.00022888183594,-1.743661880493164,-0.0008176130359061062,4.0,-2.0,160.00015258789062,-5.22795295715332,-0.0021070435177534814,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.0003967285156,-5.16962432861328,-0.0036281449720263477,3.0,-1.0,150.00059509277344,-1.7436617612838743,-0.0008176297415047885,4.0,-2.0,160.00039672851562,-5.227952480316161,-0.002107063541188836,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.0007476806641,-5.169623851776123,-0.0036281647626310587,3.0,-1.0,150.00112915039062,-1.7436615228652954,-0.0008176520350389183,4.0,-2.0,160.00074768066406,-5.227952480316161,-0.0021070905495435,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.00120544433597,-5.1696228981018075,-0.003628189442679287,3.0,-1.0,150.00180053710938,-1.7436612844467163,-0.0008176798583008351,4.0,-2.0,160.00120544433594,-5.227952003479004,-0.0021071247756481166,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.00175476074216,-5.169621944427489,-0.0036282194778323174,3.0,-1.0,150.00262451171875,-1.7436609268188477,-0.0008177142008207737,4.0,-2.0,160.0017547607422,-5.227951049804688,-0.0021071662195026875,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.0023956298828,-5.169620513916016,-0.0036282544024288654,3.0,-1.0,150.00360107421875,-1.743660569190979,-0.0008177536074072123,4.0,-2.0,160.0023956298828,-5.227950572967528,-0.002107214415445924,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.00314331054688,-5.169619083404541,-0.00362829421646893,3.0,-1.0,150.00473022460938,-1.7436600923538208,-0.0008177990675903857,4.0,-2.0,160.00314331054688,-5.227949619293213,-0.0021072698291391134,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.0039978027344,-5.1696176528930655,-0.003628339385613799,3.0,-1.0,150.00599670410156,-1.743659496307373,-0.0008178505231626333,4.0,-2.0,160.00399780273438,-5.227949142456056,-0.002107332227751613,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,200.00494384765625,-5.169616222381592,-0.0036283896770328283,3.0,-1.0,150.00743103027344,-1.7436589002609253,-0.0008179075666703283,4.0,-2.0,160.00494384765625,-5.22794771194458,-0.002107401611283421,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
