simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
2,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,5.37186861038208e-05,3.0,0.0,2.6558091121842153e-05,4.0,0.0,1.893622902571224e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001718995627015829,3.0,0.0,5.1044640713371336e-05,4.0,0.0,5.09510573465377e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017187690536957234,3.0,0.0,5.102684735902585e-05,4.0,0.0,5.094400694360957e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017184468742925674,3.0,0.0,5.100192356621847e-05,4.0,0.0,5.0934060709550984e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017180292343255132,3.0,0.0,5.096988388686441e-05,4.0,0.0,5.0921218644361936e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001717516133794561,3.0,0.0,5.093074651085772e-05,4.0,0.0,5.0905480748042464e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001716907863738015,3.0,0.0,5.088452599011362e-05,4.0,0.0,5.088685793452896e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001716204424155876,3.0,0.0,5.083125506644137e-05,4.0,0.0,5.086534656584263e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017154059605672956,3.0,0.0,5.0770955567713834e-05,4.0,0.0,5.0840953917941085e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001714512618491426,3.0,0.0,5.070366387371905e-05,4.0,0.0,5.0813687266781926e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.000171352454344742,3.0,0.0,5.062942364020273e-05,4.0,0.0,5.0783550250343985e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017124420264735818,3.0,0.0,5.0548274884931736e-05,4.0,0.0,5.075054650660604e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001711265358608216,3.0,0.0,5.046026126365177e-05,4.0,0.0,5.0714690587483346e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017099945398513228,3.0,0.0,5.036544462200254e-05,4.0,0.0,5.06759861309547e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017086301522795114,3.0,0.0,5.026387589168735e-05,4.0,0.0,5.063444041297771e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.0001707172195892781,3.0,0.0,5.0155613280367106e-05,4.0,0.0,5.059006434748881e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017056212527677417,3.0,0.0,5.0040729547617964e-05,4.0,0.0,5.054287248640321e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017039774684235454,3.0,0.0,4.9919293815037236e-05,4.0,0.0,5.0492868467699736e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017022412794176486,3.0,0.0,4.979137520422228e-05,4.0,0.0,5.044007048127242e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
21,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00017004131223075092,3.0,0.0,4.965705375070684e-05,4.0,0.0,5.038448580307886e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
22,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016984931426122782,3.0,0.0,4.951641312800348e-05,4.0,0.0,5.03261289850343e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
23,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016964820679277182,3.0,0.0,4.936954064760357e-05,4.0,0.0,5.026501457905397e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
24,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016943801892921329,3.0,0.0,4.9216523620998494e-05,4.0,0.0,5.020115713705309e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
25,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016921879432629794,3.0,0.0,4.905745663563721e-05,4.0,0.0,5.013456757296808e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
26,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016899059119168666,3.0,0.0,4.889244155492634e-05,4.0,0.0,5.006526771467179e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
27,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016875345318112522,3.0,0.0,4.872157296631485e-05,4.0,0.0,4.999326847610064e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
28,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016850743850227443,3.0,0.0,4.854496000916697e-05,4.0,0.0,4.991859168512746e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
29,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016825259081088006,3.0,0.0,4.83627118228469e-05,4.0,0.0,4.9841248255688704e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
30,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016798896831460294,3.0,0.0,4.817493390874006e-05,4.0,0.0,4.976126365363598e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
31,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016771662922110409,3.0,0.0,4.7981749958125874e-05,4.0,0.0,4.967865243088454e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
32,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016743564628995958,3.0,0.0,4.778327274834737e-05,4.0,0.0,4.959343277732842e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
33,-99.99,-99.99,-99.99,1.0,0.0,0.0,2.0,0.0,0.00016714607772883028,3.0,0.0,4.7579622332705185e-05,4.0,0.0,4.950562652084045e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
