simFrame,playerId.0,laneId.0,roadS.0,roadT.0,hdgRel.0,playerId.1,laneId.1,roadS.1,roadT.1,hdgRel.1,playerId.2,laneId.2,roadS.2,roadT.2,hdgRel.2,playerId.3,laneId.3,roadS.3,roadT.3,hdgRel.3,playerId.4,laneId.4,roadS.4,roadT.4,hdgRel.4,playerId.5,laneId.5,roadS.5,roadT.5,hdgRel.5,playerId.6,laneId.6,roadS.6,roadT.6,hdgRel.6,playerId.7,laneId.7,roadS.7,roadT.7,hdgRel.7,playerId.8,laneId.8,roadS.8,roadT.8,hdgRel.8,playerId.9,laneId.9,roadS.9,roadT.9,hdgRel.9
2,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.0,-5.22795295715332,-0.002107030479237437,3.0,-4.0,150.0,-10.740413665771484,-0.0012369506293907762,4.0,-1.0,180.0,-1.7262959480285645,-0.001470409450121224,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00015258789062,-5.22795295715332,-0.002107044216245413,3.0,-4.0,150.00030517578125,-10.740413665771484,-0.0012369706528261304,4.0,-1.0,180.00015258789062,-1.726295828819275,-0.0014704150380566714,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00039672851562,-5.227952480316161,-0.002107065636664629,3.0,-4.0,150.00079345703125,-10.740413665771484,-0.0012370022013783455,4.0,-1.0,180.00039672851562,-1.7262955904006958,-0.0014704234199598432,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00074768066406,-5.227952480316161,-0.0021070942748337984,3.0,-4.0,150.00149536132812,-10.740412712097168,-0.0012370445765554905,4.0,-1.0,180.00074768066406,-1.7262953519821167,-0.0014704347122460606,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00120544433594,-5.227952003479004,-0.0021071305964142084,3.0,-4.0,150.0023956298828,-10.740412712097168,-0.0012370980111882093,4.0,-1.0,180.00120544433594,-1.726294994354248,-0.0014704490313306453,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.0017547607422,-5.227951049804688,-0.0021071743685752158,3.0,-4.0,150.0034942626953,-10.740411758422852,-0.0012371627381071448,4.0,-1.0,180.0017547607422,-1.7262946367263794,-0.0014704663772135973,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.0023956298828,-5.227950572967528,-0.0021072253584861755,3.0,-4.0,150.0048065185547,-10.740410804748537,-0.0012372385244816544,4.0,-1.0,180.0023956298828,-1.7262941598892212,-0.0014704865170642734,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00314331054688,-5.227949619293213,-0.0021072840318083767,3.0,-4.0,150.0063018798828,-10.74040985107422,-0.0012373250210657716,4.0,-1.0,180.00314331054688,-1.7262935638427734,-0.0014705096837133167,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00399780273438,-5.227949142456056,-0.002107350155711174,3.0,-4.0,150.00799560546875,-10.740408897399902,-0.0012374226935207846,4.0,-1.0,180.00399780273438,-1.7262929677963257,-0.001470535877160728,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00494384765625,-5.22794771194458,-0.0021074234973639245,3.0,-4.0,150.00990295410156,-10.740407943725586,-0.0012375310761854053,4.0,-1.0,180.00494384765625,-1.7262922525405884,-0.0014705649809911847,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00599670410156,-5.227946758270264,-0.0021075045224279165,3.0,-4.0,150.01199340820312,-10.740406036376953,-0.0012376506347209215,4.0,-1.0,180.00599670410156,-1.7262915372848513,-0.0014705968787893653,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.0071563720703,-5.227945804595947,-0.0021075929980725046,3.0,-4.0,150.01429748535156,-10.740405082702637,-0.0012377812527120113,4.0,-1.0,180.0071563720703,-1.726290583610535,-0.0014706316869705913,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00840759277344,-5.227944374084473,-0.002107688458636403,3.0,-4.0,150.0167999267578,-10.740403175354004,-0.0012379222316667438,4.0,-1.0,180.00840759277344,-1.7262897491455078,-0.001470669754780829,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.00975036621094,-5.227942943572998,-0.002107791835442185,3.0,-4.0,150.01950073242188,-10.740402221679688,-0.0012380742700770495,4.0,-1.0,180.00975036621094,-1.726288676261902,-0.0014707105001434686,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.01119995117188,-5.227941513061523,-0.0021079021971672773,3.0,-4.0,150.02239990234375,-10.740400314331056,-0.0012382370186969636,4.0,-1.0,180.01119995117188,-1.726287603378296,-0.001470754272304475,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.01275634765625,-5.227939605712891,-0.0021080202423036094,3.0,-4.0,150.02549743652344,-10.740398406982422,-0.001238410477526486,4.0,-1.0,180.01275634765625,-1.72628653049469,-0.001470800954848528,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.014404296875,-5.227938175201416,-0.002108145505189896,3.0,-4.0,150.02879333496094,-10.740396499633787,-0.001238594646565616,4.0,-1.0,180.014404296875,-1.7262853384017944,-0.0014708503149449825,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,-2.0,130.32254028320312,-5.131438255310059,-0.004826602526009082,2.0,-2.0,160.01614379882812,-5.227936267852783,-0.0021082779858261347,3.0,-4.0,150.0323028564453,-10.74039363861084,-0.0012387895258143544,4.0,-1.0,180.01614379882812,-1.7262840270996094,-0.0014709028182551265,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
