simFrame,playerId_0,laneId_0,roadS_0,roadT_0,hdgRel_0,playerId_1,laneId_1,roadS_1,roadT_1,hdgRel_1,playerId_2,laneId_2,roadS_2,roadT_2,hdgRel_2,playerId_3,laneId_3,roadS_3,roadT_3,hdgRel_3,playerId_4,laneId_4,roadS_4,roadT_4,hdgRel_4,playerId_5,laneId_5,roadS_5,roadT_5,hdgRel_5,playerId_6,laneId_6,roadS_6,roadT_6,hdgRel_6,playerId_7,laneId_7,roadS_7,roadT_7,hdgRel_7,playerId_8,laneId_8,roadS_8,roadT_8,hdgRel_8,playerId_9,laneId_9,roadS_9,roadT_9,hdgRel_9
2,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000000000000000e+02,-5.1718750000000000e+00,-3.5156214144080877e-03,3.0,                     -1,+1.5000000000000000e+02,-1.7438201904296875e+00,-7.9650874249637127e-04,4.0,                     -2,+1.6000000000000000e+02,-5.2285156250000000e+00,-2.0507804583758116e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000015258789062e+02,-5.1718745231628418e+00,-3.5156304948031902e-03,3.0,                     -1,+1.5000022888183594e+02,-1.7438200712203979e+00,-7.9651887062937021e-04,4.0,                     -2,+1.6000015258789062e+02,-5.2285156250000000e+00,-2.0507932640612125e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000039672851562e+02,-5.1718745231628418e+00,-3.5156442318111658e-03,3.0,                     -1,+1.5000059509277344e+02,-1.7438199520111084e+00,-7.9653499415144324e-04,4.0,                     -2,+1.6000039672851562e+02,-5.2285151481628418e+00,-2.0508125890046358e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000074768066406e+02,-5.1718735694885254e+00,-3.5156628582626581e-03,3.0,                     -1,+1.5000112915039062e+02,-1.7438197135925293e+00,-7.9655658919364214e-04,4.0,                     -2,+1.6000074768066406e+02,-5.2285146713256836e+00,-2.0508388988673687e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000120544433594e+02,-5.1718730926513672e+00,-3.5156866069883108e-03,3.0,                     -1,+1.5000180053710938e+02,-1.7438194751739502e+00,-7.9658417962491512e-04,4.0,                     -2,+1.6000120544433594e+02,-5.2285141944885254e+00,-2.0508719608187675e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000175476074219e+02,-5.1718721389770508e+00,-3.5157150123268366e-03,3.0,                     -1,+1.5000262451171875e+02,-1.7438191175460815e+00,-7.9661683412268758e-04,4.0,                     -2,+1.6000175476074219e+02,-5.2285137176513672e+00,-2.0509120076894760e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000239562988281e+02,-5.1718707084655762e+00,-3.5157483071088791e-03,3.0,                     -1,+1.5000360107421875e+02,-1.7438187599182129e+00,-7.9665542580187321e-04,4.0,                     -2,+1.6000239562988281e+02,-5.2285132408142090e+00,-2.0509588066488504e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000314331054688e+02,-5.1718692779541016e+00,-3.5157864913344383e-03,3.0,                     -1,+1.5000473022460938e+02,-1.7438182830810547e+00,-7.9669954720884562e-04,4.0,                     -2,+1.6000314331054688e+02,-5.2285122871398926e+00,-2.0510123576968908e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000399780273438e+02,-5.1718678474426270e+00,-3.5158297978341579e-03,3.0,                     -1,+1.5000599670410156e+02,-1.7438178062438965e+00,-7.9674966400489211e-04,4.0,                     -2,+1.6000399780273438e+02,-5.2285113334655762e+00,-2.0510728936642408e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000494384765625e+02,-5.1718664169311523e+00,-3.5158777609467506e-03,3.0,                     -1,+1.5000743103027344e+02,-1.7438172101974487e+00,-7.9680478665977716e-04,4.0,                     -2,+1.6000494384765625e+02,-5.2285103797912598e+00,-2.0511401817202568e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
