simFrame,playerId_0,laneId_0,roadS_0,roadT_0,hdgRel_0,playerId_1,laneId_1,roadS_1,roadT_1,hdgRel_1,playerId_2,laneId_2,roadS_2,roadT_2,hdgRel_2,playerId_3,laneId_3,roadS_3,roadT_3,hdgRel_3,playerId_4,laneId_4,roadS_4,roadT_4,hdgRel_4,playerId_5,laneId_5,roadS_5,roadT_5,hdgRel_5,playerId_6,laneId_6,roadS_6,roadT_6,hdgRel_6,playerId_7,laneId_7,roadS_7,roadT_7,hdgRel_7,playerId_8,laneId_8,roadS_8,roadT_8,hdgRel_8,playerId_9,laneId_9,roadS_9,roadT_9,hdgRel_9
2,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191341876983643e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0000000000000000e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191337108612061e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0000148773193359e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191329956054688e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0000400543212891e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191325187683105e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0000751495361328e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191318035125732e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0001201629638672e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191310882568359e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0001750946044922e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191303730010986e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0002399444580078e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191296577453613e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0003150939941406e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191294193267822e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0004001617431641e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,-99.99,-99.99,1,                     -1,+2.6191291809082031e+00,-2.0055880546569824e+00,-2.8035880532115698e-03,2.0,                     -1,+5.0004951477050781e+01,-1.8750000000000000e+00,+3.9719338928989600e-11,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
