simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
2,1.0,0.0,0.0,2.0,                  0x400,-0.000184,3.0,                  0x400,-0.000758,4.0,                  0x400,-9.07e-05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,1.0,0.0,0.0,2.0,                  0x400,-0.000541,3.0,                  0x400,-0.00371,4.0,                  0x400,-0.000256,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,1.0,0.0,0.0,2.0,                  0x400,-0.00054,3.0,                  0x400,-0.00371,4.0,                  0x400,-0.000256,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,1.0,0.0,0.0,2.0,                  0x400,-0.00054,3.0,                  0x400,-0.00371,4.0,                  0x400,-0.000256,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,1.0,0.0,0.0,2.0,                  0x400,-0.00054,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000256,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,1.0,0.0,0.0,2.0,                  0x400,-0.00054,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000256,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,1.0,0.0,0.0,2.0,                  0x400,-0.00054,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000256,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,1.0,0.0,0.0,2.0,                  0x400,-0.00054,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,1.0,0.0,0.0,2.0,                  0x400,-0.000539,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,1.0,0.0,0.0,2.0,                  0x400,-0.000539,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12,1.0,0.0,0.0,2.0,                  0x400,-0.000539,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,1.0,0.0,0.0,2.0,                  0x400,-0.000538,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,1.0,0.0,0.0,2.0,                  0x400,-0.000538,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,1.0,0.0,0.0,2.0,                  0x400,-0.000538,3.0,                  0x400,-0.0037,4.0,                  0x400,-0.000255,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,1.0,0.0,0.0,2.0,                  0x400,-0.000537,3.0,                  0x400,-0.00369,4.0,                  0x400,-0.000254,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,1.0,0.0,0.0,2.0,                  0x400,-0.000537,3.0,                  0x400,-0.00369,4.0,                  0x400,-0.000254,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,1.0,0.0,0.0,2.0,                  0x400,-0.000536,3.0,                  0x400,-0.00369,4.0,                  0x400,-0.000254,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,1.0,0.0,0.0,2.0,                  0x400,-0.000536,3.0,                  0x400,-0.00369,4.0,                  0x400,-0.000254,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20,1.0,0.0,0.0,2.0,                  0x400,-0.000535,3.0,                  0x400,-0.00369,4.0,                  0x400,-0.000253,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
21,1.0,0.0,0.0,2.0,                  0x400,-0.000534,3.0,                  0x400,-0.00369,4.0,                  0x400,-0.000253,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
22,1.0,0.0,0.0,2.0,                  0x400,-0.000534,3.0,                  0x400,-0.00368,4.0,                  0x400,-0.000253,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
23,1.0,0.0,0.0,2.0,                  0x400,-0.000533,3.0,                  0x400,-0.00368,4.0,                  0x400,-0.000252,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
24,1.0,0.0,0.0,2.0,                  0x400,-0.000533,3.0,                  0x400,-0.00368,4.0,                  0x400,-0.000252,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
25,1.0,0.0,0.0,2.0,                  0x400,-0.000532,3.0,                  0x400,-0.00368,4.0,                  0x400,-0.000252,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
26,1.0,0.0,0.0,2.0,                  0x400,-0.000531,3.0,                  0x400,-0.00367,4.0,                  0x400,-0.000251,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
27,1.0,0.0,0.0,2.0,                  0x400,-0.00053,3.0,                  0x400,-0.00367,4.0,                  0x400,-0.000251,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
28,1.0,0.0,0.0,2.0,                  0x400,-0.000529,3.0,                  0x400,-0.00367,4.0,                  0x400,-0.000251,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
29,1.0,0.0,0.0,2.0,                  0x400,-0.000529,3.0,                  0x400,-0.00367,4.0,                  0x400,-0.00025,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
30,1.0,0.0,0.0,2.0,                  0x400,-0.000528,3.0,                  0x400,-0.00366,4.0,                  0x400,-0.00025,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
31,1.0,0.0,0.0,2.0,                  0x400,-0.000527,3.0,                  0x400,-0.00366,4.0,                  0x400,-0.000249,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
32,1.0,0.0,0.0,2.0,                  0x400,-0.000526,3.0,                  0x400,-0.00366,4.0,                  0x400,-0.000249,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
