simFrame,simTime,id.0,lateralDist.0,roadmark_type.0,color.0,id.1,lateralDist.1,roadmark_type.1,color.1,id.2,lateralDist.2,roadmark_type.2,color.2,id.3,lateralDist.3,roadmark_type.3,color.3,id.4,lateralDist.4,roadmark_type.4,color.4,id.5,lateralDist.5,roadmark_type.5,color.5,id.6,lateralDist.6,roadmark_type.6,color.6,id.7,lateralDist.7,roadmark_type.7,color.7,id.8,lateralDist.8,roadmark_type.8,color.8,id.9,lateralDist.9,roadmark_type.9,color.9,id.10,lateralDist.10,roadmark_type.10,color.10,id.11,lateralDist.11,roadmark_type.11,color.11,id.12,lateralDist.12,roadmark_type.12,color.12,id.13,lateralDist.13,roadmark_type.13,color.13
2,0.01,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
3,0.02,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
4,0.03,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
5,0.04,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
6,0.05,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
7,0.06,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
8,0.07,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
9,0.08,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
10,0.09,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
11,0.1,1.0,1.55,2.0,1.0,2,-1.39,9,3,3.0,-1.52,9.0,3.0,4,4.89,1,3,-99.99,-99.99,-99.99,-99.99,6.0,-4.64,8.0,3.0,7.0,-4.77,8.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,10.0,-8.24,1.0,3.0,11.0,-7.1,1.0,3.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.0,1.64,2.0,1.0
