simFrame,light,steering
2,0,0.0
3,0,0.0
4,0,6.89e-11
5,0,6.89e-11
6,0,6.89e-11
7,0,6.89e-11
8,0,6.9e-11
9,0,6.9e-11
10,0,6.9e-11
11,0,6.9e-11
12,0,6.9e-11
13,0,6.9e-11
14,0,6.9e-11
15,0,6.9e-11
16,0,6.9e-11
17,0,6.9e-11
18,0,6.9e-11
19,0,6.9e-11
20,0,6.91e-11
21,0,6.91e-11
22,0,6.91e-11
23,0,6.91e-11
24,0,6.91e-11
25,0,6.92e-11
26,0,6.92e-11
27,0,6.92e-11
28,0,6.93e-11
29,0,6.93e-11
30,0,6.93e-11
31,0,6.93e-11
32,0,6.94e-11
33,0,6.94e-11
34,0,6.95e-11
35,0,6.95e-11
36,0,6.95e-11
37,0,6.96e-11
38,0,6.96e-11
39,0,6.97e-11
40,0,6.97e-11
41,0,6.98e-11
42,0,6.98e-11
43,0,6.99e-11
44,0,6.99e-11
45,0,7e-11
46,0,7e-11
47,0,7.01e-11
48,0,7.01e-11
49,0,7.02e-11
50,0,7.03e-11
51,0,7.03e-11
52,0,7.04e-11
53,0,7.05e-11
54,0,7.05e-11
55,0,7.06e-11
56,0,7.07e-11
57,0,7.07e-11
58,0,7.08e-11
59,0,7.09e-11
60,0,7.09e-11
61,0,7.1e-11
62,0,7.11e-11
63,0,7.12e-11
64,0,7.12e-11
65,0,7.13e-11
66,0,7.14e-11
67,0,7.15e-11
68,0,7.16e-11
69,0,7.16e-11
70,0,7.17e-11
71,0,7.18e-11
72,0,7.19e-11
73,0,7.2e-11
74,0,7.21e-11
75,0,7.22e-11
76,0,7.23e-11
77,0,7.23e-11
78,0,7.24e-11
79,0,7.25e-11
80,0,7.26e-11
81,0,7.27e-11
82,0,7.28e-11
83,0,7.29e-11
84,0,7.3e-11
85,0,7.31e-11
86,0,7.32e-11
87,0,7.33e-11
88,0,7.34e-11
89,0,7.35e-11
90,0,7.36e-11
91,0,7.37e-11
92,0,7.38e-11
93,0,7.39e-11
94,0,7.4e-11
95,0,7.41e-11
96,0,7.42e-11
97,0,7.43e-11
98,0,7.44e-11
99,0,7.45e-11
100,0,7.46e-11
101,0,7.47e-11
102,0,7.48e-11
103,0,7.5e-11
104,0,7.51e-11
105,0,7.52e-11
106,0,7.53e-11
107,0,7.54e-11
108,0,7.55e-11
109,0,7.56e-11
110,0,7.57e-11
111,0,7.58e-11
112,0,7.59e-11
113,0,7.6e-11
114,0,7.61e-11
115,0,7.62e-11
116,0,7.63e-11
117,0,7.64e-11
118,0,7.66e-11
119,0,7.67e-11
120,0,7.68e-11
121,0,7.69e-11
122,0,7.7e-11
123,0,7.71e-11
124,0,7.72e-11
125,0,7.73e-11
126,0,7.74e-11
127,0,7.75e-11
128,0,7.76e-11
129,0,7.77e-11
130,0,7.78e-11
131,0,7.79e-11
132,0,7.8e-11
133,0,7.81e-11
134,0,7.82e-11
135,0,7.83e-11
136,0,7.84e-11
137,0,7.85e-11
138,0,7.86e-11
139,0,7.87e-11
140,0,7.88e-11
141,0,7.89e-11
142,0,7.89e-11
143,0,7.9e-11
144,0,7.91e-11
145,0,7.92e-11
146,0,7.93e-11
147,0,7.94e-11
148,0,7.95e-11
149,0,7.95e-11
150,0,7.96e-11
151,0,7.97e-11
152,0,7.98e-11
153,0,7.99e-11
154,0,7.99e-11
155,0,8e-11
156,0,8.01e-11
157,0,8.01e-11
158,0,8.02e-11
159,0,8.03e-11
160,0,8.03e-11
161,0,8.04e-11
162,0,8.04e-11
163,0,8.05e-11
164,0,8.06e-11
165,0,8.06e-11
166,0,8.07e-11
167,0,8.07e-11
168,0,8.07e-11
169,0,8.08e-11
170,0,8.08e-11
171,0,8.09e-11
172,0,8.09e-11
173,0,8.09e-11
174,0,8.1e-11
175,0,8.1e-11
176,0,8.1e-11
177,0,8.1e-11
178,0,8.1e-11
179,0,8.11e-11
180,0,8.11e-11
181,0,8.11e-11
182,0,8.11e-11
183,0,8.11e-11
184,0,8.11e-11
185,0,8.11e-11
186,0,8.11e-11
187,0,8.11e-11
188,0,8.11e-11
189,0,8.1e-11
190,0,8.1e-11
191,0,8.1e-11
192,0,8.1e-11
193,0,8.09e-11
194,0,8.09e-11
195,0,8.09e-11
196,0,8.08e-11
197,0,8.08e-11
198,0,8.07e-11
199,0,8.07e-11
200,0,8.06e-11
201,0,8.05e-11
202,0,8.05e-11
203,0,8.04e-11
204,0,8.03e-11
205,0,8.02e-11
206,0,8.01e-11
207,0,8.01e-11
208,0,8e-11
209,0,7.99e-11
210,0,7.98e-11
211,0,7.96e-11
212,0,7.95e-11
213,0,7.94e-11
214,0,7.93e-11
215,0,7.92e-11
216,0,7.9e-11
217,0,7.89e-11
218,0,7.87e-11
219,0,7.86e-11
220,0,7.84e-11
221,0,7.83e-11
222,0,7.81e-11
223,0,7.79e-11
224,0,7.78e-11
225,0,7.76e-11
226,0,7.74e-11
227,0,7.72e-11
228,0,7.7e-11
229,0,7.68e-11
230,0,7.66e-11
231,0,7.64e-11
232,0,7.62e-11
233,0,7.59e-11
234,0,7.57e-11
235,0,7.55e-11
236,0,7.52e-11
237,0,7.5e-11
238,0,7.47e-11
239,0,7.44e-11
240,0,7.42e-11
241,0,7.39e-11
242,0,7.36e-11
243,0,7.33e-11
244,0,7.3e-11
245,0,7.27e-11
246,0,7.24e-11
247,0,7.21e-11
248,0,7.18e-11
249,0,7.15e-11
250,0,7.11e-11
251,0,7.08e-11
252,0,7.04e-11
253,0,7.01e-11
254,0,6.97e-11
255,0,6.93e-11
256,0,6.9e-11
257,0,6.86e-11
258,0,6.82e-11
259,0,6.78e-11
260,0,6.74e-11
261,0,6.7e-11
262,0,6.66e-11
263,0,6.61e-11
264,0,6.57e-11
265,0,6.53e-11
266,0,6.48e-11
267,0,6.44e-11
268,0,6.39e-11
269,0,6.34e-11
270,0,6.29e-11
271,0,6.25e-11
272,0,6.2e-11
273,0,6.15e-11
274,0,6.1e-11
275,0,6.04e-11
276,0,5.99e-11
277,0,5.94e-11
278,0,5.89e-11
279,0,5.83e-11
280,0,5.78e-11
281,0,5.72e-11
282,0,5.66e-11
283,0,5.61e-11
284,0,5.55e-11
285,0,5.49e-11
286,0,5.43e-11
287,0,5.37e-11
288,0,5.31e-11
289,0,5.25e-11
290,0,5.18e-11
291,0,5.12e-11
292,0,5.06e-11
293,0,4.99e-11
294,0,4.93e-11
295,0,4.86e-11
296,0,4.79e-11
297,0,4.72e-11
298,0,4.66e-11
299,0,4.59e-11
300,0,4.52e-11
301,0,4.44e-11
302,0,4.37e-11
303,0,4.3e-11
304,0,4.23e-11
305,0,4.15e-11
306,0,4.08e-11
307,0,-3.63e-10
308,0,-3.64e-10
309,0,3.86e-11
310,0,3.8e-11
311,0,3.73e-11
312,0,3.66e-11
313,0,3.59e-11
314,0,3.52e-11
315,0,3.45e-11
316,0,3.38e-11
317,0,3.3e-11
318,0,3.23e-11
319,0,3.16e-11
320,0,3.08e-11
321,0,3.01e-11
322,0,2.93e-11
323,0,2.85e-11
324,0,2.78e-11
325,0,2.7e-11
326,0,2.62e-11
327,0,2.54e-11
328,0,2.46e-11
329,0,2.38e-11
330,0,2.3e-11
331,0,-3.81e-10
332,0,-3.82e-10
333,0,2.07e-11
334,0,2e-11
335,0,1.93e-11
336,0,1.86e-11
337,0,1.78e-11
338,0,1.71e-11
339,0,1.64e-11
340,0,1.56e-11
341,0,1.49e-11
342,0,1.41e-11
343,0,1.33e-11
344,0,1.26e-11
345,0,1.18e-11
346,0,1.1e-11
347,0,1.03e-11
348,0,9.49e-12
349,0,8.7e-12
350,0,7.92e-12
351,0,7.13e-12
352,0,6.33e-12
353,0,5.54e-12
354,0,4.74e-12
355,0,3.93e-12
