simFrame,objectId_0,dimX_0,dimY_0,dimZ_0,offX_0,offY_0,offZ_0,X_0,Y_0,yaw_angle_0,Vx_0,Vy_0,Ax_0,Ay_0,objectId_1,dimX_1,dimY_1,dimZ_1,offX_1,offY_1,offZ_1,X_1,Y_1,yaw_angle_1,Vx_1,Vy_1,Ax_1,Ay_1,objectId_2,dimX_2,dimY_2,dimZ_2,offX_2,offY_2,offZ_2,X_2,Y_2,yaw_angle_2,Vx_2,Vy_2,Ax_2,Ay_2,objectId_3,dimX_3,dimY_3,dimZ_3,offX_3,offY_3,offZ_3,X_3,Y_3,yaw_angle_3,Vx_3,Vy_3,Ax_3,Ay_3,objectId_4,dimX_4,dimY_4,dimZ_4,offX_4,offY_4,offZ_4,X_4,Y_4,yaw_angle_4,Vx_4,Vy_4,Ax_4,Ay_4,objectId_5,dimX_5,dimY_5,dimZ_5,offX_5,offY_5,offZ_5,X_5,Y_5,yaw_angle_5,Vx_5,Vy_5,Ax_5,Ay_5,objectId_6,dimX_6,dimY_6,dimZ_6,offX_6,offY_6,offZ_6,X_6,Y_6,yaw_angle_6,Vx_6,Vy_6,Ax_6,Ay_6,objectId_7,dimX_7,dimY_7,dimZ_7,offX_7,offY_7,offZ_7,X_7,Y_7,yaw_angle_7,Vx_7,Vy_7,Ax_7,Ay_7,objectId_8,dimX_8,dimY_8,dimZ_8,offX_8,offY_8,offZ_8,X_8,Y_8,yaw_angle_8,Vx_8,Vy_8,Ax_8,Ay_8,objectId_9,dimX_9,dimY_9,dimZ_9,offX_9,offY_9,offZ_9,X_9,Y_9,yaw_angle_9,Vx_9,Vy_9,Ax_9,Ay_9
2,1,2.51,1.48,1.52,0.901,0.0,0.0,3.29e-07,1.72e-20,-7.16e-23,-1.19e-05,1.11e-20,-0.0012,-9.32e-19,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.01,-4.53e-05,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.015,-6.79e-05,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.01,-4.53e-05,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2.51,1.48,1.52,0.901,0.0,0.0,5.74e-07,3.48e-20,7.1400000000000005e-22,-2.77e-05,6.050000000000001e-21,-0.00184,-2.16e-18,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.02,-9.05e-05,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.03,-0.000136,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.02,-9.05e-05,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2.51,1.48,1.52,0.901,0.0,0.0,7.52e-07,5.2e-20,1.5900000000000002e-21,-4.76e-05,-5.46e-22,-0.00205,2.35e-19,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.03,-0.000136,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.045,-0.000204,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.03,-0.000136,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2.51,1.48,1.52,0.901,0.0,0.0,8.59e-07,5.77e-20,3.36e-21,-6.78e-05,2.62e-20,-0.00196,4.11e-18,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.0401,-0.000181,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.0601,-0.000272,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.0401,-0.000181,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2.51,1.48,1.52,0.901,0.0,0.0,9.34e-07,5.72e-20,4.4900000000000005e-21,-8.66e-05,7.93e-20,-0.00183,-6.17e-18,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.0501,-0.000226,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.0751,-0.000339,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.0501,-0.000226,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2.51,1.48,1.52,0.901,0.0,0.0,1.01e-06,4.93e-20,7.66e-21,-0.000105,2.34e-19,-0.00183,2.91e-17,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.0601,-0.000272,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.0901,-0.000407,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.0601,-0.000272,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,2.51,1.48,1.52,0.901,0.0,0.0,1.09e-06,2.8e-20,1.6e-20,-0.000124,6.4e-19,-0.00196,4.38e-17,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.0701,-0.000317,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.105,-0.000475,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.0701,-0.000317,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2.51,1.48,1.52,0.901,0.0,0.0,1.13e-06,3.69e-20,2.69e-20,-0.000144,9.56e-19,-0.00211,1.81e-17,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.0801,-0.000362,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.12,-0.000543,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.0801,-0.000362,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,2.51,1.48,1.52,0.901,0.0,0.0,1.09e-06,8.21e-20,2.88e-20,-0.000166,8.08e-19,-0.00214,-4.38e-17,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.0902,-0.000407,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.135,-0.000611,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.0902,-0.000407,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2.51,1.48,1.52,0.901,0.0,0.0,9.4e-07,1.6e-19,1.56e-20,-0.000186,7.15e-20,-0.00198,-8.88e-17,2,5.67,1.93,2.54,1.64,0.0,0.0,66.8,-0.368,-0.00453,0.1,-0.000453,1.0,-0.00453,3,4.57,1.77,1.45,1.22,0.0,0.0,16.8,3.36,-0.00453,0.15,-0.000679,1.5,-0.00679,4,4.39,1.81,1.35,1.34,0.0,0.0,26.8,-0.187,-0.00453,0.1,-0.000453,1.0,-0.00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
