                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+0.0000000000000000e+00,                      1,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-03,                      2,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.9949319973733282e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.2399365108898337e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+3.7545571103692055e-04,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+5.5511151231257827e-17,+0.0000000000000000e+00,                      3,                  0x400,+2.8189256484623115e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0102236410602927e-03,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-2.4025920142278778e-16,+0.0000000000000000e+00,                      3,                  0x400,+2.8189256484623115e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0100855724886060e-03,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.8771069688081639e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.5214886562329184e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0098911589011550e-03,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+5.5511151231257827e-17,+0.0000000000000000e+00,                      3,                  0x400,+3.5214886562329184e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0096406331285834e-03,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-9.1940344226770776e-17,+0.0000000000000000e+00,                      3,                  0x400,+3.5214886562329184e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0093337623402476e-03,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-9.1940344226770776e-17,+0.0000000000000000e+00,                      3,                  0x400,+9.4368957093138306e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0089707793667912e-03,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-9.1940344226770776e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.7430063189231078e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0085516842082143e-03,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-9.1940344226770776e-17,+0.0000000000000000e+00,                      3,                  0x400,+9.4368957093138306e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0080765932798386e-03,+0.0000000000000000e+00,
