                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+9.9999997764825821e-03,                      2,                      2,                      1,                     -1,                    0x1,+5.0000000000000000e+01,-1.8750000000000000e+00,-7.3718808835110394e-14,+3.9719338928989600e-11,-0.0000000000000000e+00,-0.0000000000000000e+00,                      0,+5.0000000000000000e+01,                      1,                      1,                     -1,                    0x1,+2.6191349029541016e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.2851391481235623e-04,-3.1215582963377832e-20,                      0,+2.6191349029541016e+00,
+1.9999999552965164e-02,                      3,                      2,                      1,                     -1,                    0x1,+5.0000148773193359e+01,-1.8750000000000000e+00,-7.8603790143461083e-14,+3.9719338928989600e-11,-0.0000000000000000e+00,-0.0000000000000000e+00,                      0,+5.0000148773193359e+01,                      1,                      1,                     -1,                    0x1,+2.6191351413726807e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.2934797238558531e-04,-6.1714019722717795e-20,                      0,+2.6191351413726807e+00,
+2.9999999329447746e-02,                      4,                      2,                      1,                     -1,                    0x1,+5.0000400543212891e+01,-1.8750000000000000e+00,+7.9936057773011271e-15,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.1188277903585188e-22,                      0,+5.0000400543212891e+01,                      1,                      1,                     -1,                    0x1,+2.6191353797912598e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.3040493619628251e-04,-9.0761662466996442e-20,                      0,+2.6191353797912598e+00,
+3.9999999105930328e-02,                      5,                      2,                      1,                     -1,                    0x1,+5.0000751495361328e+01,-1.8750000000000000e+00,-1.2123635428906709e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+8.2686932803982746e-24,                      0,+5.0000751495361328e+01,                      1,                      1,                     -1,                    0x1,+2.6191353797912598e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.3171580182388425e-04,-9.7280647025132711e-20,                      0,+2.6191353797912598e+00,
+4.9999998882412910e-02,                      6,                      2,                      1,                     -1,                    0x1,+5.0001201629638672e+01,-1.8750000000000000e+00,-1.3455903058456897e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+3.1033040171256455e-23,                      0,+5.0001201629638672e+01,                      1,                      1,                     -1,                    0x1,+2.6191353797912598e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.3334183283150196e-04,-9.2452432563751902e-20,                      0,+2.6191353797912598e+00,
+5.9999998658895493e-02,                      7,                      2,                      1,                     -1,                    0x1,+5.0001750946044922e+01,-1.8750000000000000e+00,-1.1035616864774056e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+1.1739434192135211e-22,                      0,+5.0001750946044922e+01,                      1,                      1,                     -1,                    0x1,+2.6191356182098389e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.3532511335797608e-04,-6.7287388206689635e-20,                      0,+2.6191356182098389e+00,
+6.9999998435378075e-02,                      8,                      2,                      1,                     -1,                    0x1,+5.0002399444580078e+01,-1.8750000000000000e+00,-1.0036416142611415e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,-2.6092060378502582e-22,                      0,+5.0002399444580078e+01,                      1,                      1,                     -1,                    0x1,+2.6191356182098389e+00,-2.0055880546569824e+00,-1.3058811426162720e-01,-2.8035880532115698e-03,+4.3766238377429545e-04,-4.9410397966697680e-21,                      0,+2.6191356182098389e+00,
+7.9999998211860657e-02,                      9,                      2,                      1,                     -1,                    0x1,+5.0003150939941406e+01,-1.8750000000000000e+00,-1.5543122344752192e-15,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.0454128099346981e-21,                      0,+5.0003150939941406e+01,                      1,                      1,                     -1,                    0x1,+2.6191356182098389e+00,-2.0055880546569824e+00,-1.3058811426162720e-01,-2.8035880532115698e-03,+4.4030812568962574e-04,+7.8128695195796645e-21,                      0,+2.6191356182098389e+00,
+8.9999997988343239e-02,                     10,                      2,                      1,                     -1,                    0x1,+5.0004001617431641e+01,-1.8750000000000000e+00,-1.4210854715202004e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.5744905352000425e-21,                      0,+5.0004001617431641e+01,                      1,                      1,                     -1,                    0x1,+2.6191356182098389e+00,-2.0055880546569824e+00,-1.3058811426162720e-01,-2.8035880532115698e-03,+4.4319755397737026e-04,-6.2565350131748250e-20,                      0,+2.6191356182098389e+00,
+9.9999997764825821e-02,                     11,                      2,                      1,                     -1,                    0x1,+5.0004951477050781e+01,-1.8750000000000000e+00,+7.8603790143461083e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.6619631684161954e-21,                      0,+5.0004951477050781e+01,                      1,                      1,                     -1,                    0x1,+2.6191353797912598e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.4627464376389980e-04,-2.2448350580890844e-19,                      0,+2.6191353797912598e+00,
