                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+9.9999997764825821e-03,                      2,                      2,                  0x400,+3.2737963920226321e-05,+0.0000000000000000e+00,                      3,                  0x400,+6.2809631344862282e-06,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      2,                  0x400,+9.4721537607256323e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7716480215312913e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      2,                  0x400,+9.4708724645897746e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7714050045469776e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      2,                  0x400,+9.4690592959523201e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7710608517518267e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      2,                  0x400,+9.4667142548132688e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7706157450447790e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      2,                  0x400,+9.4638373411726207e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7700696844258346e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      2,                  0x400,+9.4604300102218986e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7694228517939337e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      2,                  0x400,+9.4564915343653411e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7686754290480167e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      2,                  0x400,+9.4520248239859939e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7678274161880836e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      2,                  0x400,+9.4470291514880955e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7668791770120151e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      2,                  0x400,+9.4415059720631689e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7658307115198113e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      2,                  0x400,+9.4354560133069754e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7646823835093528e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.2999999709427357e-01,                     14,                      2,                  0x400,+9.4288821856025606e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7634345567785203e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      2,                  0x400,+9.4217844889499247e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7620872313273139e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      2,                  0x400,+9.4141643785405904e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7606407709536143e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.5999999642372131e-01,                     17,                      2,                  0x400,+9.4060247647576034e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7590955394553021e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.6999999620020390e-01,                     18,                      2,                  0x400,+9.3973663751967251e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7574519006302580e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.7999999597668648e-01,                     19,                      2,                  0x400,+9.3881913926452398e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7557104001753032e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.8999999575316906e-01,                     20,                      2,                  0x400,+9.3785019998904318e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7538710380904377e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-01,                     21,                      2,                  0x400,+9.3683003797195852e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7519345419714227e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
