                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+9.9999997764825821e-03,                      2,                      2,                  0x400,+5.2031191444257274e-05,+0.0000000000000000e+00,                      3,                  0x400,+3.4059372410411015e-05,+0.0000000000000000e+00,                      4,                  0x400,+1.8226777683594264e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      2,                  0x400,+1.6649960889481008e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5462096245028079e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.9042158934753388e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      2,                  0x400,+1.6647765005473047e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5439271565992385e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.9035374104278162e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      2,                  0x400,+1.6644643619656563e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5407308284193277e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.9025795306079090e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      2,                  0x400,+1.6640598187223077e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5366213675588369e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.9013433454092592e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      2,                  0x400,+1.6635628708172590e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5316016844008118e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8998284910339862e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      2,                  0x400,+1.6629735182505101e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5256732341367751e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8980353312799707e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      2,                  0x400,+1.6622920520603657e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5188403823412955e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8959645937429741e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      2,                  0x400,+1.6615186177659780e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5111067669931799e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8936162784229964e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      2,                  0x400,+1.6606532153673470e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.5024760260712355e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8909911129157990e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      2,                  0x400,+1.6596959903836250e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4929532527457923e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8880898248171434e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      2,                  0x400,+1.6586473793722689e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4825449953787029e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8849124141270295e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
