"                simTime","               simFrame","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS"
1.00E-02,2,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-7.39E-14,4.47E-11,-0.00E+00,0.00E+00,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,-0.00E+00,0.00E+00,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-7.39E-14,4.47E-11,-0.00E+00,0.00E+00,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,-0.00E+00,0.00E+00,0,2.61E+00
2.00E-02,3,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-1.81E-13,4.47E-11,0.00E+00,0.00E+00,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,-0.00E+00,0.00E+00,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-1.81E-13,4.47E-11,0.00E+00,0.00E+00,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,-0.00E+00,0.00E+00,0,2.61E+00
3.00E-02,4,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.93E-14,4.47E-11,1.66E-03,4.16E-23,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,-0.00E+00,0.00E+00,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.93E-14,4.47E-11,1.66E-03,4.16E-23,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,-0.00E+00,0.00E+00,0,2.61E+00
4.00E-02,5,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-4.31E-14,4.47E-11,1.66E-03,-3.03E-23,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,4.54E-04,-4.87E-19,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-4.31E-14,4.47E-11,1.66E-03,-3.03E-23,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,4.54E-04,-4.87E-19,0,2.61E+00
5.00E-02,6,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.88E-14,4.47E-11,1.66E-03,1.39E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,6.46E-04,-5.71E-18,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.88E-14,4.47E-11,1.66E-03,1.39E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,6.46E-04,-5.71E-18,0,2.61E+00
6.00E-02,7,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.22E-14,4.47E-11,1.66E-03,-3.57E-23,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,7.81E-04,-2.10E-17,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.22E-14,4.47E-11,1.66E-03,-3.57E-23,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,7.81E-04,-2.10E-17,0,2.61E+00
7.00E-02,8,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.79E-13,4.47E-11,1.66E-03,-7.53E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,8.75E-04,-5.08E-17,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.79E-13,4.47E-11,1.66E-03,-7.53E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,8.75E-04,-5.08E-17,0,2.61E+00
8.00E-02,9,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-8.86E-14,4.47E-11,1.66E-03,-2.30E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,9.41E-04,-9.84E-17,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-8.86E-14,4.47E-11,1.66E-03,-2.30E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,9.41E-04,-9.84E-17,0,2.61E+00
9.00E-02,10,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.07E-13,4.47E-11,1.66E-03,-1.09E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,9.87E-04,-1.66E-16,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.07E-13,4.47E-11,1.66E-03,-1.09E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,9.87E-04,-1.66E-16,0,2.61E+00
1.00E-01,11,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,9.13E-14,4.47E-11,1.66E-03,2.07E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,1.02E-03,-2.55E-16,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,9.13E-14,4.47E-11,1.66E-03,2.07E-22,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,1.02E-03,-2.55E-16,0,2.61E+00
